time,x
1276.0,-4.198834370424442
1277.0,-4.146501955544617
1278.0,-4.072641874860442
1279.0,-4.052970886881811
1280.0,-4.086941880414644
1281.0,-4.117284176736638
1282.0,-4.0871554326547255
1283.0,-4.052918410502479
1284.0,-3.971509002586918
1285.0,-3.9466719277584574
1286.0,-3.884788349425645
1287.0,-3.796553377707154
1288.0,-3.786389543555357
1289.0,-3.8715109796575136
1290.0,-3.9389346887355976
1291.0,-4.021272863817055
1292.0,-3.92869486132349
1293.0,-3.9769483577715588
1294.0,-3.90514804068278
1295.0,-3.8706631570514567
1296.0,-3.7709703075305194
1297.0,-3.7124119623423586
1298.0,-3.717687626923679
1299.0,-3.728600803212597
1300.0,-3.7230461897100215
1301.0,-3.7122909906690067
1302.0,-3.742298826284534
1303.0,-3.743542827169718
1304.0,-3.6499886826362036
1305.0,-3.7476376706991568
1306.0,-3.7320731435058954
1307.0,-3.7837980416327395
1308.0,-3.772352561036053
1309.0,-3.723218532414325
1310.0,-3.7259081250043335
1311.0,-3.680642711828453
1312.0,-3.7718028786260556
1313.0,-3.7072459935506514
1314.0,-3.7414338745947058
1315.0,-3.704859481051011
1316.0,-3.6936924413080607
1317.0,-3.8423384584609632
1318.0,-3.8853329430332435
1319.0,-3.8719376381739252
1320.0,-3.781556829074331
1321.0,-3.7643248804331106
1322.0,-3.7488032414822223
1323.0,-3.8297236886560047
1324.0,-3.746441654433267
1325.0,-3.6414695124465646
1326.0,-3.6391971748933947
1327.0,-3.6512626858045363
1328.0,-3.744114333790138
1329.0,-3.692475663534114
1330.0,-3.5358282170872624
1331.0,-3.4938211784974986
1332.0,-3.420263907596998
1333.0,-3.388381744414058
1334.0,-3.4446723751237274
1335.0,-3.366910633156066
1336.0,-3.4376132309597263
1337.0,-3.4491882701778644
1338.0,-3.432499073488744
1339.0,-3.380937430007461
1340.0,-3.356342471101482
1341.0,-3.3334347602970107
1342.0,-3.376829400312241
1343.0,-3.4506939806125816
1344.0,-3.446554451469588
1345.0,-3.4869683326520455
1346.0,-3.5618772284138225
1347.0,-3.6343577326929672
1348.0,-3.662033972525336
1349.0,-3.768366590455338
1350.0,-3.845518480908098
1351.0,-3.9392657140245566
1352.0,-3.928069490166116
1353.0,-3.9038429550219664
